Distance NY to World Capitals;;;
;;Distance;
Country;Capital;Miles;Kilometers
Afghanistan;Kabul;6750;10863
Albania;Tirana;4633;7455
Algeria;Algiers;4034;6492
Andorra;Andorra la Vella;3777;6079
Angola;Luanda;6472;10415
Antigua and Barbuda;Saint John's;1780;2865
Argentina;Buenos Aires;5277;8492
Armenia;Yerevan;5659;9108
Australia;Canberra;10082;16225
Austria;Vienna;4235;6815
Azerbaijan;Baku;5833;9387
Bahamas;Nassau;1094;1761
Bahrain;Manama;6619;10652
Bangladesh;Dhaka;7887;12693
Barbados;Bridgetown;2092;3366
Belarus;Minsk;4438;7143
Belgium;Brussels;3669;5905
Belize;Belmopan;1840;2962
Benin;Porto-Novo;5230;8416
Bermuda;Hamilton;774;1245
Bhutan;Thimphu;7625;12272
Bolivia;La Paz ;3954;6363
Bosnia and Herzegovina;Sarajevo;4475;7202
Botswana;Gaborone;7804;12559
Brazil;Brasilia;4234;6813
Brunei;Bandar Seri Begawan;9242;14874
Bulgaria;Sofia;4725;7604
Burkina Faso;Ouagadougou;4754;7651
Burundi;Bujumbura;7073;11382
Cabo Verde;Praia;3503;5637
Cambodia;Phnom Penh;8833;14215
Cameroon;Yaounde;5813;9356
Canada;Ottawa;336;541
Cayman Islands;Georgetown;1539;2476
Central African Republic;Bangui;6160;9914
Chad;N'Djamena;5633;9065
Chile;Santiago;5106;8217
China;Beijing;6844;11014
Colombia;Bogota;2485;4000
Comoros;Moroni;8168;13145
Democratic Republic of the Congo;Kinshasa;6379;10265
Republic of the Congo;Brazzaville;6375;10259
Cook Islands;Rarotonga;6946;11178
Costa Rica;San Jose;2207;3551
Cote d'Ivoire;Yamoussoukro;4803;7729
Croatia;Zagreb;4303;6924
Cuba;Havana;1305;2100
Cyprus;Nicosia;5458;8785
Czech Republic;Prague;4084;6572
Denmark;Copenhagen;3845;6188
Djibouti;Djibouti (city);4667;7511
Dominica;Roseau;1915;3082
Dominican Republic;Santo Domingo;1559;2509
Ecuador;Quito;2839;4569
Egypt;Cairo;5602;9015
El Salvador;San Salvador;2086;3356
Equatorial Guinea;Malabo;5670;9125
Eritrea;Asmara;6664;10725
Estonia;Tallinn;4132;6650
Ethiopia;Addis Ababa;6966;11211
Fiji;Suva;7934;12769
Finland;Helsinki;4112;6618
France;Paris;3627;5837
Gabon;Libreville;5858;9427
Gambia;Banjul;3919;6307
Georgia;Tbilisi;5577;8976
Germany;Berlin;3967;6385
Ghana;Accra;5120;8240
Greece;Athens;4924;7925
Grenada;Saint George's;2115;3404
Guatemala;Guatemala City;2057;3311
Guinea;Conakry;4245;6832
Guinea-Bissau;Bissau;4042;6504
Guyana;Georgetown;2539;4086
Haiti;Port-au-Prince;1532;2465
Honduras;Tegucigalpa;2005;3227
Hungary;Budapest;4354;7007
Iceland;Reykjavik;2611;4203
India;New Delhi;7304;11754
Indonesia;Jakarta;10050;16174
Iran;Tehran;6121;9851
Iraq;Baghdad;5991;9642
Ireland;Dublin;3178;5115
Israel;Jerusalem;5697;9168
Italy;Rome;4281;6890
Jamaica;Kingston;1577;2538
Japan;Tokyo;6741;10848
Jordan;Amman;5714;9196
Kazakhstan;Astana;5751;9256
Kenya;Nairobi;7359;11843
Kiribati;South Tarawa;7340;11813
Kosovo;Pristina;4625;7442
Kuwait;Kuwait City;6337;10198
Kyrgyzstan;Bishkek;6338;10200
Laos;Vientiane;8376;13479
Latvia;Riga;4198;6756
Lebanon;Beirut;5608;9024
